Species,Lifespan,AvgMass,Diet
Canis lupus dingo,14.8,14500,Carnivore 
Crossarchus platycephalus,13.3,1100,Carnivore 
Tadarida aegyptiaca,10,16.3,Carnivore 
Cystophora cristata,35,230000,Carnivore 
Mustela itatsi,2,300,Carnivore 
Mellivora capensis,7.5,10000,Carnivore 
Mustela erminea,1.5,70.5,Carnivore 
Myotis lucifugus,6.5,9.5,Carnivore 
Myotis sodalis,20,8,Carnivore 
Leopardus guigna,11,2200,Carnivore 
Felis chaus,13,10000,Carnivore 
Myrmecobius fasciatus,5,526,Carnivore 
Lasionycteris noctivagans,12,10,Carnivore 
Leopardus geoffroyi,14.5,4000,Carnivore 
Orcaella brevirostris,32,124000,Carnivore 
Mustela nivalis,2,55,Carnivore 
Otaria flavescens,18,245000,Carnivore 
Martes zibellina,8,1250,Carnivore 
Orycteropus afer,18,61000,Carnivore 
Tursiops truncatus,25,400000,Carnivore 
Myotis austroriparius,21,6.6,Carnivore 
Rhinolophus ferrumequinum,30,25.5,Carnivore 
Macrotus californicus,10.4,12.5,Carnivore 
Peponocephala electra,30,228000,Carnivore 
Myotis auriculus,3,6.5,Carnivore 
Aonyx capensis,11,15800,Carnivore 
Felis manul,2.26,3.75,Carnivore 
Vulpes macrotis,5.5,2150,Carnivore 
Nycticeius humeralis,2,10,Carnivore 
Neofelis nebulosa,11,20000,Carnivore 
Cryptotis parva,1,4.5,Carnivore 
Delphinus delphis,20,118000,Carnivore 
Eptesicus fuscus,19,23,Carnivore 
Myotis septentrionalis,18.5,7.5,Carnivore 
Nyctalus leisleri,9,15.5,Carnivore 
Monachus tropicalis,20,135000,Carnivore 
Didelphis albiventris,1.67,1625,Carnivore 
Ommatophoca rossii,21,182500,Carnivore 
Tarsius tarsier,10,116,Carnivore 
Myosorex varius,0,12,Carnivore 
Eumetopias jubatus,25,735000,Carnivore 
Plecotus auritus,15,8,Carnivore 
Hyperoodon ampullatus,37,6650000,Carnivore 
Talpa europaea,2.5,100,Carnivore 
Zalophus wollebaeki,20,150000,Carnivore 
Acinonyx jubatus,8,46500,Carnivore 
Odobenus rosmarus,35,1000000,Carnivore 
Galago demidoff,4.5,60,Carnivore 
Caracal caracal,12,13500,Carnivore 
Hipposideros fulvus,12,9,Carnivore 
Blarina brevicauda,2.5,21.63,Carnivore 
Panthera leo,14,199000,Carnivore 
Hydrurga leptonyx,26,400000,Carnivore 
Arctocephalus australis,21,130000,Carnivore 
Lynx canadensis,14.5,10900,Carnivore 
Cephalorhynchus hectori,20,55000,Carnivore 
Scapanus orarius,3.5,76,Carnivore 
Stenella coeruleoalba,50,150,Carnivore 
Phoca largha,32,90000,Carnivore 
Monodon monoceros,40,1250000,Carnivore 
Plecotus austriacus,15,10,Carnivore 
Parascalops breweri,3,62.5,Carnivore 
Balaenoptera acutorostrata,45,7500000,Carnivore 
Leopardus pardalis,8.5,12250,Carnivore 
Pontoporia blainvillei,12,40500,Carnivore 
Lutrogale perspicillata,7,9000,Carnivore 
Sousa chinensis,40,265000,Carnivore 
Arctocephalus gazella,25,83500,Carnivore 
Sorex araneus,2,9.5,Carnivore 
Stenella attenuata,46,112500,Carnivore 
Myotis grisescens,14.5,11.5,Carnivore 
Gracilinanus agilis,1.5,17,Carnivore 
Suncus murinus,1.5,85.15,Carnivore 
Sousa teuszii,0,125000,Carnivore 
Monachus monachus,30,307500,Carnivore 
Peromyscus maniculatus,1,17,Omnivore
Peromyscus leucopus,1,23,Omnivore
Pseudomys higginsi,1.5,65,Omnivore
Miopithecus talapoin,28,1350,Omnivore
Ursus thibetanus,25,100000,Omnivore
Tupaia glis,2.5,142,Omnivore
Galago zanzibaricus,16.5,146.8,Omnivore
Leontopithecus rosalia,15,654.5,Omnivore
Didelphis aurita,2,1290,Omnivore
Tamias amoenus,5,51.5,Omnivore
Macaca mulatta,30,8000,Omnivore
Salpingotus pallidus,2.5,9.8,Omnivore
Vulpes cana,10,2250,Omnivore
Calyptophractus retusus,13.5,1000,Omnivore
Cebus apella,40,3050,Omnivore
Aotus trivirgatus,20,800,Omnivore
Ursus arctos,25,340000,Omnivore
Erinaceus europaeus,8,1000,Omnivore
Sekeetamys calurus,2.08,64,Omnivore
Didelphis virginiana,1.75,3950,Omnivore
Sciurus niger,0.58,800,Omnivore
Mephitis mephitis,6,3500,Omnivore
Tamias palmeri,2.5,59.7,Omnivore
Mus musculus,1.25,21,Omnivore
Rattus norvegicus,2,400,Omnivore
Sciurus carolinensis,12.5,540.33,Omnivore
Dryomys nitedula,5.5,26,Omnivore
Cercopithecus diana,20,5500,Omnivore
Peromyscus aztecus,1.25,29,Omnivore
Allenopithecus nigroviridis,23,4702.5,Omnivore
Vulpes rueppellii,6,2400,Omnivore
Chiropotes albinasus,17,2500,Omnivore
Phacochoerus africanus,16.5,100000,Omnivore
Erythrocebus patas,21,10000,Omnivore
Saimiri vanzolinii,15,910,Omnivore
Glirulus japonicus,6,27,Omnivore
Sus verrucosus,8,76000,Omnivore
Didelphis marsupialis,2,1530,Omnivore
Oryzomys galapagoensis,2,64.5,Omnivore
Potamochoerus larvatus,20,84500,Omnivore
Isoodon auratus,2.5,485,Omnivore
Microcebus rufus,7,50,Omnivore
Sus scrofa,12.5,169000,Omnivore
Nyctereutes procyonoides,11,7000,Omnivore
Leontopithecus chrysopygus,10,572.5,Omnivore
Vulpes pallida,10,2550,Omnivore
Caluromys philander,3.4,250,Omnivore
Procyon cancrivorus,14,5000,Omnivore
Philander opossum,2.5,437,Omnivore
Ursus americanus,10,224000,Omnivore
Vulpes zerda,10,1500,Omnivore
Papio hamadryas,37,15350,Omnivore
Muntiacus reevesi,11,18000,Omnivore
Chlorocebus aethiops,31,4000,Omnivore
Mustela subpalmata,1,307.5,Omnivore
Cercocebus agilis,20,9000,Omnivore
Peromyscus eremicus,1,25,Omnivore
Martes foina,10,1700,Omnivore
Sigmodon fulviventer,0.17,210,Omnivore
Vulpes velox,4.5,2500,Omnivore
Cebus olivaceus,42,2655,Omnivore
Elephantulus rufescens,1,42.5,Omnivore
Cercocebus torquatus,30,9492.5,Omnivore
Euoticus elegantulus,3.5,315,Omnivore
Akodon azarae,0.79,19,Omnivore
Napaeozapus insignis,3,26,Omnivore
Chaetophractus nationi,14,2150,Omnivore
Callithrix geoffroyi,10,270,Omnivore
Spermophilus lateralis,7,257,Omnivore
Saguinus nigricollis,13.9,475,Omnivore
Canis lupus familiaris,29.5,35500,Omnivore
Peromyscus attwateri,0.57,30,Omnivore
Macaca sylvanus,22,13500,Omnivore
Mesocricetus auratus,1.75,112.5,Omnivore
Pan troglodytes,51,48000,Omnivore
Bettongia lesueur,3,1100,Herbivore
Ammotragus lervia,10,105000,Herbivore
Cavia intermedia,1.01,622.5,Herbivore
Sciurus granatensis,7,374,Herbivore
Cacajao calvus,18,2500,Herbivore
Erethizon dorsatum,6,9500,Herbivore
Orthogeomys grandis,2,830,Herbivore
Ammodorcas clarkei,11,28500,Herbivore
Varecia rubra,20,3450,Herbivore
Hemibelideus lemuroides,4,945,Herbivore
Rucervus duvaucelii,20,176500,Herbivore
Propithecus coquereli,27,4000,Herbivore
Dipodomys compactus,2,52,Herbivore
Myodes glareolus,1.25,18.5,Herbivore
Ochotona pusilla,4,262.5,Herbivore
Bubalus bubalis,25,725000,Herbivore
Sylvilagus palustris,4,1700,Herbivore
Axis porcinus,20,43000,Herbivore
Artibeus jamaicensis,8,50,Herbivore
Marmota himalayana,15,6600,Herbivore
Pongo pygmaeus,59,87000,Herbivore
Lepus townsendii,8,3500,Herbivore
Alces alces,22,520500,Herbivore
Spalax ehrenbergi,3,325,Herbivore
Capricornis crispus,21,37000,Herbivore
Glis glis,9,135,Herbivore
Macropus antilopinus,16,42500,Herbivore
Myocastor coypus,6,7500,Herbivore
Rangifer tarandus,12.5,186500,Herbivore
Chinchilla lanigera,10,650,Herbivore
Lepus tibetanus,0.51,2062.5,Herbivore
Hydrochoerus hydrochaeris,6,50500,Herbivore
Coendou prehensilis,17,3500,Herbivore
Georychus capensis,3,181,Herbivore
Cephalophus niger,11,17500,Herbivore
Syncerus caffer,11,567500,Herbivore
Przewalskium albirostris,18,135000,Herbivore
Colobus polykomos,30.5,9500,Herbivore
Gazella gazella,8,23250,Herbivore
Marmota bobak,15,7300,Herbivore
Hypsignathus monstrosus,30,326,Herbivore
Oreamnos americanus,18,69300,Herbivore
Procolobus verus,20,3350,Herbivore
Oryctolagus cuniculus,9,2000,Herbivore
Capra pyrenaica,16,57500,Herbivore
Nanger granti,12,55000,Herbivore
Ochotona curzoniae,0.33,150,Herbivore
Rupicapra pyrenaica,22,37000,Herbivore
Sciurus variegatoides,12,668.5,Herbivore
Pseudochirulus herbertensis,5,1165,Herbivore
Connochaetes gnou,20,133500,Herbivore
Hylobates agilis,25,5000,Herbivore
Castor fiber,13.5,24000,Herbivore
Chaetodipus nelsoni,2.08,14.25,Herbivore
Bison bonasus,24,900000,Herbivore
Microtus pinetorum,0.25,25.5,Herbivore
Ailurus fulgens,14,4950,Herbivore
Dama dama,25,55000,Herbivore
Cercopithecus cephus,22,4000,Herbivore
Kerodon rupestris,5,950,Herbivore
Cervus elaphus,20,154200,Herbivore
Aotus nigriceps,11,750,Herbivore
Loxodonta cyclotis,70,4350000,Herbivore
Propithecus perrieri,15,4300,Herbivore
Dendrolagus matschiei,8,9500,Herbivore
Tamiasciurus hudsonicus,5,212.97,Herbivore
Dugong dugon,70,315000,Herbivore
Marmota flaviventris,14,3350,Herbivore
Bos javanicus,18,700000,Herbivore
Pantholops hodgsonii,8,33000,Herbivore
Trichosurus cunninghami,12,3500,Herbivore
Cynopterus brachyotis,25,65,Herbivore
Sylvilagus obscurus,1,900,Herbivore
Reithrodon auritus,0.31,80,Herbivore
Arctictis binturong,18,14500,Herbivore